Datetime,time,open,high,low,close,tick_volume,spread,real_volume,month,year,day_week,date,Mean,Mead,Max_Mean,Max_Min,SMA,SMA_Diff_1,SMA_Diff_Perc_1,SMA_Diff_2,SMA_Diff_Perc_2,Diff_Diff,Mean_Diff,Change,returns,volatility
2021-02-16,1613433600,48177.05,50597.07,47049.09,48579.28,187201,439,0,2,2021,1,2021-02-16,48600.6225,48823.08,1996.447500000002,3547.980000000003,,,,,,,,7.541017265158589,,
2021-02-17,1613520000,48579.28,52638.15,48525.63,52397.8,187353,439,0,2,2021,2,2021-02-17,50535.215,50581.89,2102.935000000005,4112.520000000004,,,,,,3818.520000000004,1934.5924999999988,8.474944065641196,3818.520000000004,
2021-02-18,1613606400,52397.8,52547.79,50873.16,52033.02,144481,439,0,2,2021,3,2021-02-18,51962.9425,51710.475000000006,584.8475000000035,1674.6299999999974,,,,,,-364.7800000000061,1427.7275000000009,3.2917750735358235,364.7800000000061,
2021-02-19,1613692800,52033.02,56367.85,50722.86,55536.57,139981,439,0,2,2021,4,2021-02-19,53665.075,53545.354999999996,2702.7750000000015,5644.989999999998,,,,,,3503.550000000003,1702.1324999999997,11.129084598147655,3503.550000000003,
2021-02-22,1613952000,57508.22,57664.51,47304.86,54944.86,185588,439,0,2,2021,0,2021-02-22,54355.6125,52484.685,3308.897499999999,10359.650000000001,,,,,,-591.7099999999991,690.5375000000058,21.899758291219975,591.7099999999991,
2021-02-23,1614038400,54946.86,55015.86,44888.86,47938.86,181597,4629,0,2,2021,1,2021-02-23,50697.61,49952.36,4318.25,10127.0,,,,,,-7006.0,-3658.0025000000023,22.560163033768287,7006.0,
2021-02-24,1614124800,47935.86,51402.63,46978.86,48744.19,211831,2039,0,2,2021,2,2021-02-24,48765.384999999995,49190.744999999995,2637.2450000000026,4423.769999999997,,,,,,805.3300000000017,-1932.2250000000058,9.416512022641667,805.3300000000017,
2021-02-25,1614211200,48744.34,52074.1,48007.86,48026.55,219514,2039,0,2,2021,3,2021-02-25,49213.212499999994,50040.979999999996,2860.8875000000044,4066.239999999998,,,,,,-717.6399999999994,447.8274999999994,8.469946379613667,717.6399999999994,
2021-02-26,1614297600,48031.82,48829.44,44139.86,45559.45,280443,2039,0,2,2021,4,2021-02-26,46640.1425,46484.65,2189.2975000000006,4689.580000000002,,,,,,-2467.100000000006,-2573.0699999999924,10.624365369532214,2467.100000000006,
2021-03-01,1614556800,45175.34,49563.56,44857.12,48851.74,213875,2039,0,3,2021,0,2021-03-01,47111.939999999995,47210.34,2451.6200000000026,4706.439999999995,,,,,,3292.290000000001,471.7974999999933,10.492069040544722,3292.290000000001,
2021-03-02,1614643200,48851.74,50236.27,47060.75,47423.52,179210,2039,0,3,2021,1,2021-03-02,48393.07,48648.509999999995,1843.199999999997,3175.519999999997,,,,,,-1428.2200000000012,1281.1300000000047,6.747703765877078,1428.2200000000012,
2021-03-03,1614729600,47424.52,52655.8,47360.01,50932.9,176818,2039,0,3,2021,2,2021-03-03,49593.3075,50007.905,3062.4925000000003,5295.790000000001,,,,,,3509.3800000000047,1200.237500000003,11.1819866592089,3509.3800000000047,
2021-03-04,1614816000,50932.91,51788.13,47489.86,47889.8,221203,2039,0,3,2021,3,2021-03-04,49525.175,49638.994999999995,2262.9549999999945,4298.269999999997,,,,,,-3043.0999999999985,-68.13249999999971,9.050921607265208,3043.0999999999985,
2021-03-05,1614902400,47889.8,49459.53,46239.86,49041.9,204284,2039,0,3,2021,4,2021-03-05,48157.77250000001,47849.695,1301.7574999999924,3219.6699999999983,,,,,,1152.0999999999985,-1367.4024999999965,6.962975233921552,1152.0999999999985,
2021-03-08,1615161600,50058.44,51979.32,49312.98,51861.55,180853,2010,0,3,2021,0,2021-03-08,50803.0725,50646.15,1176.2474999999977,2666.3399999999965,,,,,,2819.6500000000015,2645.2999999999956,5.406973985348272,2819.6500000000015,
2021-03-09,1615248000,51862.5,54808.25,51400.35,54309.64,183097,2010,0,3,2021,1,2021-03-09,53095.185000000005,53104.3,1713.064999999995,3407.9000000000015,,,,,,2448.0899999999965,2292.112500000003,6.6301104953565515,2448.0899999999965,
2021-03-10,1615334400,54313.25,57390.68,53005.61,56897.62,191814,2290,0,3,2021,2,2021-03-10,55401.78999999999,55198.145000000004,1988.8900000000067,4385.07,,,,,,2587.980000000003,2306.6049999999886,8.272841308684118,2587.980000000003,
2021-03-11,1615420800,56897.96,57924.11,54270.27,57593.6,195918,2290,0,3,2021,3,2021-03-11,56671.485,56097.19,1252.625,3653.840000000004,,,,,,695.9799999999959,1269.695000000007,6.732673340302166,695.9799999999959,
2021-03-12,1615507200,57593.6,58100.56,55034.08,56967.76,178517,2290,0,3,2021,4,2021-03-12,56924.0,56567.32,1176.5599999999977,3066.479999999996,,,,,,-625.8399999999965,252.51499999999942,5.5719655893221,625.8399999999965,
