Datetime,time,open,high,low,close,tick_volume,spread,real_volume,month,year,day_week,date,Mean,Mead,Max_Mean,Max_Min,SMA,SMA_Diff_1,SMA_Diff_Perc_1,SMA_Diff_2,SMA_Diff_Perc_2,Diff_Diff,Mean_Diff,Change,returns,volatility
2020-01-23,1579737600,1.31372,1.31503,1.30964,1.31231,53418,13,0,1,2020,3,2020-01-23,1.312675,1.312335,0.002354999999999885,0.005390000000000006,,,,,,,,0.41156348309459134,,
2020-01-24,1579824000,1.31227,1.31741,1.30563,1.30729,61330,13,0,1,2020,4,2020-01-24,1.31065,1.31152,0.006759999999999877,0.011779999999999902,,,,,,-0.0050200000000000244,-0.0020249999999999435,0.9022464250974549,0.0050200000000000244,
2020-01-27,1580083200,1.30773,1.31043,1.30396,1.30564,53080,13,0,1,2020,0,2020-01-27,1.30694,1.307195,0.003489999999999993,0.006469999999999976,,,,,,-0.0016500000000001513,-0.003710000000000102,0.49618086444369275,0.0016500000000001513,
2020-01-28,1580169600,1.30511,1.30645,1.2974700000000001,1.3026499999999999,49893,13,0,1,2020,1,2020-01-28,1.3029199999999999,1.30196,0.003530000000000033,0.008979999999999766,,,,,,-0.002990000000000048,-0.004020000000000135,0.6921161953648073,0.002990000000000048,
2020-01-29,1580256000,1.30266,1.30281,1.29887,1.30171,44345,13,0,1,2020,2,2020-01-29,1.3015124999999999,1.30084,0.0012975000000001735,0.003940000000000055,,,,,,-0.0009399999999999409,-0.001407500000000006,0.30334059605657643,0.0009399999999999409,
2020-01-30,1580342400,1.30166,1.31094,1.29772,1.30923,62830,13,0,1,2020,3,2020-01-30,1.3048875,1.30433,0.006052500000000016,0.01322000000000001,,,,,,0.007519999999999971,0.003375000000000128,1.0187097370773364,0.007519999999999971,
2020-01-31,1580428800,1.3093,1.32088,1.30808,1.31973,63224,13,0,1,2020,4,2020-01-31,1.3144974999999999,1.31448,0.00638250000000018,0.012800000000000145,,,,,,0.010500000000000176,0.009609999999999896,0.9785334230322416,0.010500000000000176,
2020-02-03,1580688000,1.31752,1.3183,1.29822,1.29923,59311,13,0,2,2020,0,2020-02-03,1.3083175,1.30826,0.009982500000000005,0.020080000000000098,,,,,,-0.020499999999999963,-0.006179999999999852,1.5467332193310919,0.020499999999999963,
2020-02-04,1580774400,1.29923,1.3046,1.29406,1.30289,63839,13,0,2,2020,1,2020-02-04,1.300195,1.2993299999999999,0.004404999999999992,0.010539999999999994,,,,,,0.0036599999999999966,-0.008122500000000032,0.8144908273186711,0.0036599999999999966,
2020-02-05,1580860800,1.30287,1.30694,1.29556,1.29999,60062,13,0,2,2020,2,2020-02-05,1.30134,1.30125,0.005600000000000049,0.011379999999999946,,,,,,-0.0029000000000001247,0.0011449999999999516,0.8783846367593894,0.0029000000000001247,
2020-02-06,1580947200,1.29999,1.3001,1.29204,1.29273,50129,13,0,2,2020,3,2020-02-06,1.296215,1.29607,0.0038850000000001383,0.008059999999999956,,,,,,-0.007260000000000044,-0.005125000000000046,0.623819695984641,0.007260000000000044,
2020-02-07,1581033600,1.29267,1.29587,1.28779,1.28779,60582,13,0,2,2020,4,2020-02-07,1.2910300000000001,1.29183,0.0048399999999999554,0.008080000000000087,,,,,,-0.0049399999999999444,-0.005184999999999773,0.6274314911592797,0.0049399999999999444,
2020-02-10,1581292800,1.28815,1.29456,1.2871299999999999,1.29142,55945,13,0,2,2020,0,2020-02-10,1.2903149999999999,1.290845,0.004245000000000054,0.007430000000000048,,,,,,0.003630000000000022,-0.0007150000000002432,0.577253268900581,0.003630000000000022,
2020-02-11,1581379200,1.29144,1.29675,1.28939,1.29512,58240,13,0,2,2020,1,2020-02-11,1.293175,1.2930700000000002,0.003575000000000106,0.007360000000000033,,,,,,0.0037000000000000366,0.0028600000000000847,0.5708125547739654,0.0037000000000000366,
2020-02-12,1581465600,1.29497,1.29909,1.29439,1.29582,56882,13,0,2,2020,2,2020-02-12,1.2960675,1.29674,0.00302250000000015,0.0047000000000001485,,,,,,0.0006999999999999229,0.0028924999999999645,0.3631054009997102,0.0006999999999999229,
2020-02-13,1581552000,1.29582,1.30687,1.2943500000000001,1.3037,70760,13,0,2,2020,3,2020-02-13,1.300185,1.30061,0.006685000000000052,0.012519999999999865,,,,,,0.00788000000000011,0.004117499999999996,0.9672808745702371,0.00788000000000011,
2020-02-14,1581638400,1.3037,1.30629,1.30005,1.30462,53666,13,0,2,2020,4,2020-02-14,1.3036649999999999,1.30317,0.0026250000000000995,0.006240000000000023,,,,,,0.0009199999999998099,0.0034799999999999276,0.47998153917157216,0.0009199999999998099,
2020-02-17,1581897600,1.30263,1.30531,1.29977,1.30034,42933,13,0,2,2020,0,2020-02-17,1.3020125,1.30254,0.0032974999999999532,0.005539999999999878,,,,,,-0.0042799999999998395,-0.0016524999999998347,0.4262292559452732,0.0042799999999998395,
2020-02-18,1581984000,1.3002099999999999,1.30481,1.29704,1.29959,58428,13,0,2,2020,1,2020-02-18,1.3004125,1.3009249999999999,0.004397500000000054,0.007770000000000055,,,,,,-0.0007500000000000284,-0.0016000000000000458,0.5990563128353833,0.0007500000000000284,
2020-02-19,1582070400,1.2995999999999999,1.30228,1.29068,1.29168,60526,13,0,2,2020,2,2020-02-19,1.29606,1.29648,0.006220000000000114,0.011600000000000055,,,,,,-0.007910000000000084,-0.004352499999999981,0.8987510459602731,0.007910000000000084,
2020-02-20,1582156800,1.29155,1.29278,1.28485,1.28799,69079,13,0,2,2020,3,2020-02-20,1.2892925000000002,1.288815,0.0034874999999998657,0.007929999999999993,,,,,,-0.003689999999999971,-0.006767499999999815,0.6171926684048715,0.003689999999999971,
2020-02-21,1582243200,1.2881,1.29804,1.2869,1.2947199999999999,71640,13,0,2,2020,4,2020-02-21,1.29194,1.29247,0.006099999999999994,0.01114000000000015,1.3002813636363635,,,,,0.006729999999999903,0.002647499999999914,0.8656461263501555,0.006729999999999903,
2020-02-24,1582502400,1.2944200000000001,1.2953999999999999,1.2886,1.29206,73466,13,0,2,2020,0,2020-02-24,1.2926199999999999,1.2919999999999998,0.0027800000000000047,0.006799999999999917,1.299360909090909,-0.0009204545454544188,-0.0007078887471556605,,,-0.0026599999999998847,0.0006799999999997919,0.5277044854881202,0.0026599999999998847,0.004386781428188717
2020-02-25,1582588800,1.29215,1.30175,1.29136,1.30043,88210,13,0,2,2020,1,2020-02-25,1.2964224999999998,1.2965550000000001,0.0053275000000001516,0.0103899999999999,1.2990490909090908,-0.0003118181818182464,-0.00023997811511533573,0.0006086363636361725,-0.6609945897860614,0.008369999999999989,0.003802499999999931,0.8045781191921616,0.008369999999999989,0.004444070128537515
2020-02-26,1582675200,1.30044,1.30074,1.28943,1.28951,81532,13,0,2,2020,2,2020-02-26,1.2950300000000001,1.295085,0.005709999999999882,0.011309999999999931,1.298315909090909,-0.0007331818181817162,-0.0005643988539868472,-0.00042136363636346985,1.3518763522064994,-0.01092000000000004,-0.0013924999999996857,0.877131755892133,0.01092000000000004,0.004531500735710978
2020-02-27,1582761600,1.28951,1.29458,1.28594,1.2883200000000001,98849,13,0,2,2020,3,2020-02-27,1.2895875,1.29026,0.004992499999999955,0.008639999999999981,1.2976645454545455,-0.0006513636363636444,-0.0005016988791424204,8.181818181807188e-05,-0.1110916055224449,-0.0011899999999998023,-0.005442500000000017,0.671882047373904,0.0011899999999998023,0.004596778115987257
2020-02-28,1582848000,1.2883200000000001,1.2919100000000001,1.27251,1.28114,115863,13,0,2,2020,4,2020-02-28,1.2834699999999999,1.28221,0.008440000000000225,0.019400000000000084,1.2967295454545456,-0.0009349999999999081,-0.0007205251952633329,-0.00028363636363626377,0.4361706298705781,-0.007180000000000186,-0.00611750000000022,1.524545976063063,0.007180000000000186,0.0044917101372094655
2020-03-02,1583107200,1.2767,1.28501,1.2739,1.2752,121489,13,0,3,2020,0,2020-03-02,1.2777025,1.279455,0.007307500000000022,0.011109999999999953,1.2951827272727274,-0.0015468181818181215,-0.0011928610613062274,-0.0006118181818182133,0.6555438576582575,-0.005940000000000056,-0.0057674999999999255,0.8721249705628348,0.005940000000000056,0.00447564667991828
