Datetime,time,open,high,low,close,tick_volume,spread,real_volume,month,year,day_week,date,Mean,Mead,Max_Mean,Max_Min,SMA,SMA_Diff_1,SMA_Diff_Perc_1,SMA_Diff_2,SMA_Diff_Perc_2,Diff_Diff,Mean_Diff,Change,returns,volatility
2020-01-09,1578528000,28809.5,28981.5,28776.5,28956.0,986062,0,0,1,2020,3,2020-01-09,28880.875,28879.0,100.625,205.0,,,,,,,,0.712386843431272,,
2020-01-10,1578614400,28966.5,29055.0,28785.0,28803.5,850308,0,0,1,2020,4,2020-01-10,28902.5,28920.0,152.5,270.0,,,,,,-152.5,21.625,0.9379885356956749,152.5,
2020-01-13,1578873600,28830.5,28943.5,28815.5,28900.0,789099,0,0,1,2020,0,2020-01-13,28872.375,28879.5,71.125,128.0,,,,,,96.5,-30.125,0.44420537557911544,96.5,
2020-01-14,1578960000,28913.0,29051.0,28773.0,28964.0,1103760,0,0,1,2020,1,2020-01-14,28925.25,28912.0,125.75,278.0,,,,,,64.0,52.875,0.966183574879227,64.0,
2020-01-15,1579046400,28962.0,29129.0,28877.0,29072.0,1027114,0,0,1,2020,2,2020-01-15,29010.0,29003.0,119.0,252.0,,,,,,108.0,84.75,0.8726668282716349,108.0,
2020-01-16,1579132800,29079.0,29306.0,29073.0,29301.0,747849,0,0,1,2020,3,2020-01-16,29189.75,29189.5,116.25,233.0,,,,,,229.0,179.75,0.8014308808860455,229.0,
2020-01-17,1579219200,29290.0,29401.0,29281.0,29311.5,751296,0,0,1,2020,4,2020-01-17,29320.875,29341.0,80.125,120.0,,,,,,10.5,131.125,0.4098220689184112,10.5,
2020-01-20,1579478400,29320.5,29360.5,29266.0,29335.5,351863,0,0,1,2020,0,2020-01-20,29320.625,29313.25,39.875,94.5,,,,,,24.0,-0.25,0.32290029385635205,24.0,
2020-01-21,1579564800,29336.0,29338.0,29147.5,29214.0,1029409,0,0,1,2020,1,2020-01-21,29258.875,29242.75,79.125,190.5,,,,,,-121.5,-61.75,0.6535723475426709,121.5,
2020-01-22,1579651200,29199.79,29346.73,29133.83,29150.29,941757,0,0,1,2020,2,2020-01-22,29207.66,29240.28,139.0699999999997,212.89999999999782,,,,,,-63.70999999999913,-51.215000000000146,0.7307655739049682,63.70999999999913,
2020-01-23,1579737600,29135.5,29190.0,28961.0,29164.0,1155964,0,0,1,2020,3,2020-01-23,29112.625,29075.5,77.375,229.0,,,,,,13.709999999999127,-95.03499999999985,0.7907185525361694,13.709999999999127,
2020-01-24,1579824000,29174.0,29281.0,28840.0,28951.0,1260554,0,0,1,2020,4,2020-01-24,29061.5,29060.5,219.5,441.0,,,,,,-213.0,-51.125,1.529126213592233,213.0,
2020-01-27,1580083200,28722.0,28778.5,28446.0,28542.0,1984415,0,0,1,2020,0,2020-01-27,28622.125,28612.25,156.375,332.5,,,,,,-409.0,-439.375,1.1688813892990229,409.0,
2020-01-28,1580169600,28524.5,28822.5,28522.0,28798.0,1495015,0,0,1,2020,1,2020-01-28,28666.75,28672.25,155.75,300.5,,,,,,256.0,44.625,1.0535726807376762,256.0,
2020-01-29,1580256000,28794.5,28933.0,28699.0,28745.0,1416565,0,0,1,2020,2,2020-01-29,28792.875,28816.0,140.125,234.0,,,,,,-53.0,126.125,0.8153594201888567,53.0,
2020-01-30,1580342400,28749.0,28893.5,28477.5,28882.5,2039465,0,0,1,2020,3,2020-01-30,28750.625,28685.5,142.875,416.0,,,,,,137.5,-42.25,1.4608023878500571,137.5,
2020-01-31,1580428800,28871.5,28932.5,28158.5,28279.0,2101515,0,0,1,2020,4,2020-01-31,28560.375,28545.5,372.125,774.0,,,,,,-603.5,-190.25,2.7487259619653037,603.5,
2020-02-03,1580688000,28251.0,28632.5,28250.5,28425.0,1975715,0,0,2,2020,0,2020-02-03,28389.75,28441.5,242.75,382.0,,,,,,146.0,-170.625,1.3521884568414717,146.0,
2020-02-04,1580774400,28388.5,28903.5,28345.0,28844.0,1584965,0,0,2,2020,1,2020-02-04,28620.25,28624.25,283.25,558.5,,,,,,419.0,230.5,1.9703651437643324,419.0,
2020-02-05,1580860800,28835.5,29333.0,28750.5,29306.0,1711415,0,0,2,2020,2,2020-02-05,29056.25,29041.75,276.75,582.5,,,,,,462.0,436.0,2.0260517208396376,462.0,
2020-02-06,1580947200,29323.0,29528.0,29244.0,29409.5,1502765,0,0,2,2020,3,2020-02-06,29376.125,29386.0,151.875,284.0,,,,,,103.5,319.875,0.9711393790179181,103.5,
2020-02-07,1581033600,29398.0,29412.0,29052.5,29078.0,1607365,0,0,2,2020,4,2020-02-07,29235.125,29232.25,176.875,359.5,28974.172272727275,,,,,-331.5,-141.0,1.2374150245245676,331.5,
2020-02-10,1581292800,29061.5,29293.5,28894.5,29284.0,1588415,0,0,2,2020,0,2020-02-10,29133.375,29094.0,160.125,399.0,28989.081363636364,14.909090909088263,0.0005145648603437358,,,206.0,-101.75,1.3808856356746093,206.0,161.41555848021758
