time,open,high,low,close,tick_volume,spread,real_volume,Datetime,month,year,day_week,date,symbol,yield ,yield %,volatility,volatility MA66,volatility year,yield avg,Sharp ratio,Sharp ratio MA66,MA 22,MA 66,volatility price,Z-score MA22,Z-score MA66,change,change MA 22,change MA 66,TR,+DM,-DM,+DI,-DI,ADX,ADX MA66,Trend,Dur trend,Fin trend,rate,"0,00007936507937"
1481760000,"1 142,40","1 144,36","1 122,73","1 127,91",2878,0,0,15.12.2016,12,2016,3,15.12.2016,XAUUSD,,,,,,,,,,,,,,"1,93",,,,,,,,,,0,,,,
1481846400,"1 128,57","1 141,18","1 126,61","1 134,64",2308,0,0,16.12.2016,12,2016,4,16.12.2016,XAUUSD,"0,006","0,60",,,,,,,,,,,,"1,29",,,"14,57","0,00","3,88",,,,,0,,,,
1482105600,"1 133,63","1 142,29","1 133,58","1 138,51",1255,0,0,19.12.2016,12,2016,0,19.12.2016,XAUUSD,"0,003","0,34",,,,,,,,,,,,"0,77",,,"8,71","0,00","6,97",,,,,0,,,,
1482192000,"1 138,29","1 139,65","1 125,70","1 132,16",2178,0,0,20.12.2016,12,2016,1,20.12.2016,XAUUSD,"-0,006","-0,56",,,,,,,,,,,,"1,24",,,"13,95","0,00","0,00",,,,,0,,,,
1482278400,"1 132,44","1 137,07","1 129,33","1 131,13",1418,0,0,21.12.2016,12,2016,2,21.12.2016,XAUUSD,"-0,001","-0,09",,,,,,,,,,,,"0,69",,,"7,74","0,00","3,63",,,,,0,,,,
1482364800,"1 131,47","1 134,03","1 127,76","1 128,23",931,0,0,22.12.2016,12,2016,3,22.12.2016,XAUUSD,"-0,003","-0,26",,,,,,,,,,,,"0,56",,,"6,27","0,00","0,00",,,,,0,,,,
1482451200,"1 128,35","1 135,72","1 128,10","1 133,49",1011,0,0,23.12.2016,12,2016,4,23.12.2016,XAUUSD,"0,005","0,47",,,,,,,,,,,,"0,68",,,"7,62","1,69","0,00",,,,,0,,,,
1482796800,"1 133,29","1 150,47","1 131,63","1 138,63",3235,0,0,27.12.2016,12,2016,1,27.12.2016,XAUUSD,"0,005","0,45",,,,,,,,,,,,"1,66",,,"18,84","14,75","0,00",,,,,0,,,,
1482883200,"1 138,41","1 144,42","1 136,48","1 141,36",1294,0,0,28.12.2016,12,2016,2,28.12.2016,XAUUSD,"0,002","0,24",,,,,,,,,,,,"0,70",,,"7,94","0,00","4,85",,,,,0,,,,
1482969600,"1 141,99","1 159,46","1 141,60","1 157,69",2003,0,0,29.12.2016,12,2016,3,29.12.2016,XAUUSD,"0,014","1,43",,,,,,,,,,,,"1,56",,,"18,10","15,04","0,00",,,,,0,,,,
1483056000,"1 157,97","1 163,13","1 149,67","1 152,12",2108,0,0,30.12.2016,12,2016,4,30.12.2016,XAUUSD,"-0,005","-0,48",,,,,,,,,,,,"1,17",,,"13,46","0,00","8,07",,,,,0,,,,
1483401600,"1 150,37","1 163,79","1 146,00","1 158,62",2734,0,0,03.01.2017,1,2017,1,03.01.2017,XAUUSD,"0,006","0,56",,,,,,,,,,,,"1,55",,,"17,79","0,66","0,00",,,,,0,,,,
1483488000,"1 158,38","1 167,83","1 156,16","1 163,09",1864,0,0,04.01.2017,1,2017,2,04.01.2017,XAUUSD,"0,004","0,39",,,,,,,,,,,,"1,01",,,"11,67","0,00","10,16",,,,,0,,,,
1483574400,"1 163,62","1 184,93","1 162,87","1 180,17",2758,0,0,05.01.2017,1,2017,3,05.01.2017,XAUUSD,"0,015","1,47",,,,,,,,,,,,"1,90",,,"22,06","17,10","0,00",,,,,0,,,,
1483660800,"1 180,04","1 182,52","1 170,90","1 172,27",1548,0,0,06.01.2017,1,2017,4,06.01.2017,XAUUSD,"-0,007","-0,67",,,,,,,,,,,,"0,99",,,"11,62","0,00","8,03",,,,,0,,,,
1483920000,"1 172,28","1 186,05","1 171,84","1 180,44",2027,0,0,09.01.2017,1,2017,0,09.01.2017,XAUUSD,"0,007","0,70",,,,,,,,,,,,"1,21",,,"14,21","3,53","0,00",,,,,0,,,,
1484006400,"1 180,23","1 190,51","1 180,12","1 187,40",1362,0,0,10.01.2017,1,2017,1,10.01.2017,XAUUSD,"0,006","0,59",,,,,,,,,,,,"0,88",,,"10,39","0,00","8,28",,,,,0,,,,
1484092800,"1 188,05","1 198,16","1 177,13","1 191,41",3871,0,0,11.01.2017,1,2017,2,11.01.2017,XAUUSD,"0,003","0,34",,,,,,,,,,,,"1,79",,,"21,03","7,65","0,00",,,,,0,,,,
1484179200,"1 191,03","1 206,90","1 190,20","1 195,23",2921,0,0,12.01.2017,1,2017,3,12.01.2017,XAUUSD,"0,003","0,32",,,,,,,,,,,,"1,40",,,"16,70","0,00","13,07",,,,,0,,,,
1484265600,"1 195,17","1 200,79","1 187,83","1 197,24",2386,0,0,13.01.2017,1,2017,4,13.01.2017,XAUUSD,"0,002","0,17",,,,,,,,,,,,"1,09",,,"12,96","0,00","0,00",,,,,0,,,,
1484524800,"1 199,37","1 208,65","1 198,10","1 202,41",1807,0,0,16.01.2017,1,2017,0,16.01.2017,XAUUSD,"0,004","0,43",,,,,,,,,,,,"0,88",,,"11,41","0,00","10,27",,,,,0,,,,
