time,open,high,low,close,tick_volume,spread,real_volume,Datetime,month,year,day_week,date,symbol
1481760000,1142.4,1144.36,1122.73,1127.91,2878,0,0,15.12.2016,12,2016,3,15.12.2016,XAUUSD
1481846400,1128.57,1141.18,1126.61,1134.64,2308,0,0,16.12.2016,12,2016,4,16.12.2016,XAUUSD
1482105600,1133.63,1142.29,1133.58,1138.51,1255,0,0,19.12.2016,12,2016,0,19.12.2016,XAUUSD
1482192000,1138.29,1139.65,1125.7,1132.16,2178,0,0,20.12.2016,12,2016,1,20.12.2016,XAUUSD
1482278400,1132.44,1137.07,1129.33,1131.13,1418,0,0,21.12.2016,12,2016,2,21.12.2016,XAUUSD
1482364800,1131.47,1134.03,1127.76,1128.23,931,0,0,22.12.2016,12,2016,3,22.12.2016,XAUUSD
1482451200,1128.35,1135.72,1128.1,1133.49,1011,0,0,23.12.2016,12,2016,4,23.12.2016,XAUUSD
1482796800,1133.29,1150.47,1131.63,1138.63,3235,0,0,27.12.2016,12,2016,1,27.12.2016,XAUUSD
1482883200,1138.41,1144.42,1136.48,1141.36,1294,0,0,28.12.2016,12,2016,2,28.12.2016,XAUUSD
1482969600,1141.99,1159.46,1141.6,1157.69,2003,0,0,29.12.2016,12,2016,3,29.12.2016,XAUUSD
1483056000,1157.97,1163.13,1149.67,1152.12,2108,0,0,30.12.2016,12,2016,4,30.12.2016,XAUUSD
1483401600,1150.37,1163.79,1146,1158.62,2734,0,0,03.01.2017,1,2017,1,03.01.2017,XAUUSD
1483488000,1158.38,1167.83,1156.16,1163.09,1864,0,0,04.01.2017,1,2017,2,04.01.2017,XAUUSD
1483574400,1163.62,1184.93,1162.87,1180.17,2758,0,0,05.01.2017,1,2017,3,05.01.2017,XAUUSD
1483660800,1180.04,1182.52,1170.9,1172.27,1548,0,0,06.01.2017,1,2017,4,06.01.2017,XAUUSD
1483920000,1172.28,1186.05,1171.84,1180.44,2027,0,0,09.01.2017,1,2017,0,09.01.2017,XAUUSD
1484006400,1180.23,1190.51,1180.12,1187.4,1362,0,0,10.01.2017,1,2017,1,10.01.2017,XAUUSD
1484092800,1188.05,1198.16,1177.13,1191.41,3871,0,0,11.01.2017,1,2017,2,11.01.2017,XAUUSD
1484179200,1191.03,1206.9,1190.2,1195.23,2921,0,0,12.01.2017,1,2017,3,12.01.2017,XAUUSD
1484265600,1195.17,1200.79,1187.83,1197.24,2386,0,0,13.01.2017,1,2017,4,13.01.2017,XAUUSD
1484524800,1199.37,1208.65,1198.1,1202.41,1807,0,0,16.01.2017,1,2017,0,16.01.2017,XAUUSD
1484611200,1202.88,1218.75,1202.56,1216.72,1855,0,0,17.01.2017,1,2017,1,17.01.2017,XAUUSD
1484697600,1217.68,1217.68,1202.35,1203.85,1684,0,0,18.01.2017,1,2017,2,18.01.2017,XAUUSD
1484784000,1203.24,1206.44,1195.79,1204.48,2007,0,0,19.01.2017,1,2017,3,19.01.2017,XAUUSD
1484870400,1204.97,1214.87,1198.54,1208.77,2887,0,0,20.01.2017,1,2017,4,20.01.2017,XAUUSD
1485129600,1209.28,1219.41,1209.23,1217.93,1172,0,0,23.01.2017,1,2017,0,23.01.2017,XAUUSD
1485216000,1218.1,1219.93,1206.55,1208.85,1752,0,0,24.01.2017,1,2017,1,24.01.2017,XAUUSD
1485302400,1208.81,1209.72,1193.24,1199.9,2406,0,0,25.01.2017,1,2017,2,25.01.2017,XAUUSD
1485388800,1200.62,1202.5,1184.35,1188.49,2418,0,0,26.01.2017,1,2017,3,26.01.2017,XAUUSD
1485475200,1189.05,1191.51,1180.49,1191.17,1993,0,0,27.01.2017,1,2017,4,27.01.2017,XAUUSD
1485734400,1192.43,1199.33,1188.22,1195.21,1945,0,0,30.01.2017,1,2017,0,30.01.2017,XAUUSD
